下南路914号,(浦东北蔡)下南路914号,,暂无信息,暂无信息 ,未知类型,暂无信息,暂无信息,1栋,1户,https://sh.lianjia.com/xiaoqu/5012970523373590/
沁富佳苑,(嘉定安亭)新源路1288弄,26816,上海新申房产建设有限公司,2005年建成 ,板楼,0.6元/平米/月,上海众达物业有限公司,167栋,2068户,https://sh.lianjia.com/xiaoqu/5011000012812/
中房公寓,(嘉定江桥)金耀路333弄,41231,上海中房住佳房产有限公司,2005年建成 ,板楼,1.1元/平米/月,真如物业,91栋,2271户,https://sh.lianjia.com/xiaoqu/5011000013628/
达城家园,(浦东康桥)康弘路515弄,39224,上海达周置业有限公司,2008年建成 ,板楼,1元/平米/月,上海达周置业有限公司,22栋,822户,https://sh.lianjia.com/xiaoqu/5011000013101/
铁路新村(杨浦),(杨浦五角场)国定路277弄,63297,上海铁路局,1978年建成 ,板楼,0.5元/平米/月,上海黄兴广场物业管理有限公司,79栋,1778户,https://sh.lianjia.com/xiaoqu/5011000012928/
阳城花园,(闸北阳城)阳城路283弄,63253,上海阳城房地产有限公司,2001年建成 ,板楼/塔板结合,1.2元/平米/月,大华物业,93栋,1273户,https://sh.lianjia.com/xiaoqu/5011000014112/
大华锦绣华城(十七街区)(别墅),(浦东北蔡)成山路1850弄,74478,上海锦绣华城房地产开发有限公司,2014年建成 ,板楼,3.6元/平米/月,上海浦华物业管理有限公司,62栋,62户,https://sh.lianjia.com/xiaoqu/5011000004958/
加东花园,(浦东北蔡)莲安西路125弄81-140号,49331,上海锦绣华城房地产开发有限公司,1997年建成 ,板楼,1.25元/平米/月,大华集团上海浦华物业管理有限公司,66栋,706户,https://sh.lianjia.com/xiaoqu/5011000011218/
汇翠花园,(徐汇徐家汇)漕溪北路737弄,83061,上海滨江置业有限公司,2003年建成 ,板楼,2.3元/平米/月,上海上房物业管理有限公司昆山分公司,6栋,655户,https://sh.lianjia.com/xiaoqu/5011000018068/
控江新村,(杨浦周家嘴路)控江路121弄,51871,国和房产,1961年建成 ,板楼,0.85元/平米/月,新开物业,58栋,1307户,https://sh.lianjia.com/xiaoqu/5011000012640/
华鹏路62号,(浦东北蔡)华鹏路62号,,暂无信息,暂无信息 ,未知类型,暂无信息,暂无信息,1栋,1户,https://sh.lianjia.com/xiaoqu/5012970569249281/
沧源小区,"(闵行老闵行)沧源路770弄,东川路925弄",37360,闵行房地产,1991年建成 ,板楼,0.6至0.8元/平米/月,闵行物业,133栋,2062户,https://sh.lianjia.com/xiaoqu/5011000011180/
